City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,kohima,25.6667,94.1167,13.4,83,26,1.57,IN,1731370128
270,vilyuchinsk,52.9306,158.4028,3.15,75,18,16.0,RU,1731370128
271,candelaria,13.9311,121.4233,26.61,93,100,1.32,PH,1731370129
272,guerrero negro,27.9769,-114.0611,18.81,62,91,6.07,MX,1731370129
273,nekrasovskiy,56.0667,37.5,-0.1,74,75,2.0,RU,1731370129
274,papao,-17.75,-149.55,29.82,88,95,8.52,PF,1731370130
275,al kharijah,25.4514,30.5464,16.43,51,0,3.56,EG,1731370130
276,kasongo,-4.45,26.6667,20.09,90,43,0.86,CD,1731370130
277,yutan,28.25,112.55,18.56,66,98,2.72,CN,1731370130
278,tshikapa,-6.4167,20.8,20.43,93,7,0.52,CD,1731370131
279,gornozavodsk,58.3758,58.3211,-8.43,91,96,3.55,RU,1731370131
280,kalymnos,36.95,26.9833,15.74,72,0,2.06,GR,1731370131
281,harar,9.3094,42.1258,13.91,50,75,1.9,ET,1731370132
282,anadyr,64.75,177.4833,-12.72,84,0,4.92,RU,1731370132
283,praia,14.9215,-23.5087,25.75,70,0,4.89,CV,1731370132
284,sarupathar,26.1984,93.8094,17.43,96,26,0.76,IN,1731370133
285,port moresby,-9.4431,147.1797,28.23,73,100,2.0,PG,1731370085
286,fale old settlement,-9.3852,-171.2468,28.77,65,3,7.04,TK,1731370133
287,isla mujeres,21.2311,-86.731,25.09,84,63,2.68,MX,1731370134
288,trabzon,40.9167,39.8333,11.05,72,75,3.09,TR,1731370134
289,el porvenir,13.7617,-87.3458,22.26,97,23,0.13,HN,1731370134
290,mugia,43.1041,-9.2179,14.39,82,53,10.95,ES,1731370134
291,mandapam,9.2833,79.1167,27.79,72,10,6.65,IN,1731370135
292,mana,5.6592,-53.7767,25.73,86,100,5.98,GF,1731370135
293,port macquarie,-31.4333,152.9167,20.04,90,99,1.79,AU,1731370135
294,isangel,-19.55,169.2667,29.06,70,75,3.09,VU,1731370136
295,kodiak,57.79,-152.4072,5.73,45,0,3.6,US,1731370136
296,chonchi,-42.6128,-73.8092,11.18,93,100,1.5,CL,1731370080
297,floriano,-6.7669,-43.0225,22.79,93,100,0.89,BR,1731370137
298,fort st. john,56.2499,-120.8529,-1.06,93,100,1.54,CA,1731370137
299,kapuskasing,49.4169,-82.4331,-1.95,86,100,7.72,CA,1731370137
300,oamaru,-45.0784,170.9801,13.49,67,17,3.95,NZ,1731370138
301,kuusamo,65.9667,29.1833,-2.98,100,100,1.54,FI,1731370138
302,manchester,53.4809,-2.2374,5.97,91,45,1.54,GB,1731370138
303,garoowe,8.4054,48.4845,23.78,66,100,4.19,SO,1731370139
304,kawambwa,-9.7915,29.0791,16.91,87,94,0.92,ZM,1731370139
305,puerto la cruz,10.2167,-64.6167,27.19,86,46,6.45,VE,1731370139
306,magistral'nyy,56.1725,107.4458,-5.34,90,100,1.27,RU,1731370139
307,igarka,67.4667,86.5833,-23.56,94,99,4.34,RU,1731370140
308,hargeysa,9.56,44.065,16.91,73,100,4.62,SO,1731370140
309,minas de marcona,-15.2119,-75.1103,14.89,77,74,4.98,PE,1731370140
310,kembe,4.6228,21.8865,20.57,96,52,0.77,CF,1731370141
311,kenora,49.8167,-94.4337,0.43,64,27,1.34,CA,1731370141
312,lautoka,-17.6167,177.4667,28.92,61,20,7.2,FJ,1731370141
313,chililabombwe,-12.3648,27.8229,17.25,96,99,1.35,ZM,1731370142
314,nishinoomote,30.7333,131.0,22.31,94,75,0.51,JP,1731370142
315,geraldton,-28.7667,114.6,19.23,63,0,7.72,AU,1731370142
316,ust'-ilimsk,58.0006,102.6619,-3.31,92,100,1.98,RU,1731370142
317,el parral,16.3675,-93.0058,24.71,92,12,2.07,MX,1731370143
318,enewetak,11.3474,162.3373,28.58,79,36,7.54,MH,1731370143
319,nelson bay,-32.7167,152.15,19.49,100,100,1.79,AU,1731370143
320,praia da vitoria,38.7333,-27.0667,19.42,92,100,8.96,PT,1731370144
321,dosso,13.049,3.1937,23.29,20,0,4.01,NE,1731370144
322,plettenberg bay,-34.0527,23.3716,15.69,83,7,1.57,ZA,1731370144
323,arraial do cabo,-22.9661,-42.0278,22.81,82,0,9.51,BR,1731370145
324,jindrichuv hradec,49.144,15.003,0.53,99,12,1.34,CZ,1731370145
325,sitka,57.0531,-135.33,7.94,76,75,0.0,US,1731370145
326,arauca,7.0847,-70.7591,27.98,89,0,2.08,CO,1731370146
327,mwene-ditu,-7.0,23.45,17.81,97,5,0.2,CD,1731370146
328,manismata,-2.4667,111.0333,26.48,85,91,0.52,ID,1731370146
329,lodja,-3.4833,23.4333,21.09,85,58,1.03,CD,1731370147
330,mahikeng,-25.8652,25.6442,17.6,82,99,3.08,ZA,1731370147
331,beloyarskiy,63.7119,66.6722,-11.0,90,100,2.9,RU,1731370147
332,marsabit,2.3284,37.9899,20.6,67,96,3.34,KE,1731370148
333,sisimiut,66.9395,-53.6735,-4.23,93,98,5.11,GL,1731370148
334,ewo,-0.8725,14.8206,22.11,91,11,0.57,CG,1731370148
335,onoda,34.0014,131.1836,16.82,87,1,1.49,JP,1731370148
336,luderitz,-26.6481,15.1594,14.9,82,1,7.88,NA,1731370149
337,saipan,15.1355,145.701,30.39,82,75,5.66,MP,1731370149
338,vila velha,-20.3297,-40.2925,23.97,87,100,1.54,BR,1731370150
339,ierapetra,35.01,25.7353,16.19,70,33,2.68,GR,1731370150
340,mukalla,14.5425,49.1242,24.01,72,9,1.4,YE,1731370150
341,spring creek,40.7266,-115.5859,12.67,25,94,2.24,US,1731370151
342,kungur,57.4368,56.9593,-7.62,91,38,4.55,RU,1731370151
343,rongelap,11.1635,166.8941,28.42,78,65,7.37,MH,1731370151
344,glen innes,-29.7333,151.7333,22.34,53,77,5.37,AU,1731370152
345,songjiang,31.036,121.2146,15.98,72,0,2.93,CN,1731370152
346,gosaba,22.165,88.7998,20.88,67,43,3.04,IN,1731370152
347,rock springs,41.5875,-109.2029,9.69,33,0,5.66,US,1731370153
348,baker city,44.7749,-117.8344,6.84,70,100,2.57,US,1731370153
349,isla aguada,18.7833,-91.4667,27.69,79,66,6.31,MX,1731370153
350,nadym,65.5333,72.5167,-22.21,100,77,4.53,RU,1731370153
351,jayrud,33.8074,36.7404,13.73,78,97,1.99,SY,1731370154
352,viana do castelo,41.6932,-8.8329,14.98,79,7,2.52,PT,1731370154
353,oujda-angad,34.6805,-1.9076,11.35,76,40,2.06,MA,1731370154
354,swanage,50.6092,-1.9626,6.59,92,33,6.86,GB,1731370155
355,ottawa,45.4112,-75.6981,10.69,91,75,5.66,CA,1731370071
356,san bernardo del viento,9.3533,-75.9524,26.43,78,59,2.79,CO,1731370155
357,north bondi,-33.8824,151.2769,22.75,71,75,6.17,AU,1731370156
358,narok,-1.0783,35.8601,13.11,90,53,1.45,KE,1731370156
359,zheleznodorozhnyy,55.7503,38.0042,-0.25,71,87,1.63,RU,1731370156
360,laguna,38.421,-121.4238,15.59,75,0,2.06,US,1731370157
361,lerwick,60.1545,-1.1494,9.89,84,100,4.68,GB,1731370157
